"behavioral_cluster","exp_condition","count","cluster_proportion"
"1","nonengager",232,0.239904865312031
"2","nonengager",6648,6.87451527842407
"3","nonengager",9238,9.55276355927822
"4","nonengager",3550,3.6709580683522
"5","nonengager",8797,9.0967375006463
"6","nonengager",8667,8.96230805025593
"7","engager",1378,1.42495217413784
"7","nonengager",20195,20.8830980817952
"8","engager",6459,6.67907553901039
"8","nonengager",17017,17.5968150560984
"9","engager",12146,12.5598469572411
"9","nonengager",2378,2.45902486944832
