"tcell_line","cluster","Time","n","perc"
"CD4_TEG","9",1,54,10.4854368932039
"CD4_TEG","9",1.03333333333333,53,10.3515625
"CD4_TEG","9",1.06666666666667,53,10.3112840466926
"CD4_TEG","9",1.1,54,10.4651162790698
"CD4_TEG","9",1.13333333333333,55,10.6177606177606
"CD4_TEG","9",1.16666666666667,55,10.6177606177606
"CD4_TEG","9",1.2,56,10.8317214700193
"CD4_TEG","9",1.23333333333333,57,11.003861003861
"CD4_TEG","9",1.26666666666667,57,10.9404990403071
"CD4_TEG","9",1.3,57,11.046511627907
"CD4_TEG","9",1.33333333333333,56,10.8527131782946
"CD4_TEG","9",1.36666666666667,57,11.046511627907
"CD4_TEG","9",1.4,57,11.1328125
"CD4_TEG","9",1.43333333333333,59,11.4563106796117
"CD4_TEG","9",1.46666666666667,59,11.5009746588694
"CD4_TEG","9",1.5,61,11.8217054263566
"CD4_TEG","9",1.53333333333333,62,11.9230769230769
"CD4_TEG","9",1.56666666666667,62,11.9922630560928
"CD4_TEG","9",1.6,63,12.1387283236994
"CD4_TEG","9",1.63333333333333,62,11.969111969112
"CD4_TEG","9",1.66666666666667,62,12.0622568093385
"CD4_TEG","9",1.7,61,12.0315581854043
"CD4_TEG","9",1.73333333333333,61,12.0315581854043
"CD4_TEG","9",1.76666666666667,63,12.37721021611
"CD4_TEG","9",1.8,62,12.3015873015873
"CD4_TEG","9",1.83333333333333,62,12.2772277227723
"CD4_TEG","9",1.86666666666667,62,12.3260437375746
"CD4_TEG","9",1.9,63,12.37721021611
"CD4_TEG","9",1.93333333333333,63,12.280701754386
"CD4_TEG","9",1.96666666666667,65,12.6459143968872
"CD4_TEG","9",2,64,12.5
"CD4_TEG","9",2.03333333333333,65,12.6459143968872
"CD4_TEG","9",2.06666666666667,65,12.621359223301
"CD4_TEG","9",2.1,66,12.890625
"CD4_TEG","9",2.13333333333333,67,13.1115459882583
"CD4_TEG","9",2.16666666666667,69,13.4765625
"CD4_TEG","9",2.2,68,13.2038834951456
"CD4_TEG","9",2.23333333333333,67,13.0604288499025
"CD4_TEG","9",2.26666666666667,66,12.9158512720157
"CD4_TEG","9",2.3,63,12.4015748031496
"CD4_TEG","9",2.33333333333333,64,12.6732673267327
"CD4_TEG","9",2.36666666666667,63,12.6
"CD4_TEG","9",2.4,63,12.625250501002
"CD4_TEG","9",2.43333333333333,66,13.2
"CD4_TEG","9",2.46666666666667,63,12.8309572301426
"CD4_TEG","9",2.5,63,12.8571428571429
